iter	Passed	Remaining
0	39	11727
1	74	11165
2	111	11010
3	148	10999
4	188	11116
5	223	10973
6	259	10871
7	293	10702
8	329	10649
9	370	10744
10	406	10688
11	441	10586
12	479	10592
13	515	10539
14	553	10518
15	585	10401
16	620	10321
17	653	10231
18	688	10180
19	723	10127
20	758	10072
21	794	10038
22	827	9969
23	862	9915
24	892	9815
25	926	9766
26	960	9710
27	1006	9777
28	1028	9614
29	1062	9561
30	1097	9525
31	1132	9488
32	1182	9571
33	1220	9548
34	1255	9504
35	1291	9471
36	1327	9432
37	1361	9385
38	1394	9332
39	1428	9283
40	1462	9239
41	1492	9166
42	1507	9009
43	1542	8973
44	1565	8872
45	1599	8830
46	1634	8799
47	1669	8765
48	1702	8723
49	1740	8702
50	1773	8659
51	1784	8512
52	1819	8477
53	1852	8437
54	1873	8345
55	1906	8306
56	1925	8209
57	1959	8175
58	1979	8084
59	2020	8080
60	2053	8047
61	2071	7950
62	2091	7868
63	2124	7834
64	2158	7804
65	2193	7775
66	2228	7749
67	2265	7727
68	2301	7705
69	2337	7680
70	2373	7655
71	2406	7621
72	2422	7533
73	2455	7499
74	2474	7424
75	2495	7354
76	2529	7324
77	2564	7298
78	2597	7266
79	2633	7241
80	2667	7211
81	2700	7178
82	2734	7148
83	2769	7122
84	2806	7097
85	2838	7063
86	2860	7004
87	2877	6932
88	2911	6903
89	2951	6887
90	2968	6817
91	2993	6767
92	3012	6706
93	3054	6693
94	3087	6663
95	3123	6637
96	3143	6578
97	3178	6551
98	3211	6521
99	3246	6492
100	3281	6464
101	3329	6463
102	3362	6431
103	3387	6383
104	3419	6350
105	3444	6304
106	3477	6272
107	3496	6216
108	3522	6172
109	3562	6153
110	3601	6132
111	3628	6090
112	3666	6067
113	3686	6014
114	3724	5991
115	3761	5966
116	3806	5954
117	3855	5945
118	3900	5933
119	3942	5913
120	3983	5892
121	4034	5886
122	4075	5864
123	4092	5809
124	4133	5786
125	4175	5765
126	4224	5755
127	4258	5723
128	4292	5689
129	4328	5660
130	4356	5619
131	4391	5589
132	4428	5560
133	4464	5531
134	4496	5495
135	4532	5465
136	4566	5433
137	4600	5400
138	4637	5371
139	4669	5336
140	4702	5302
141	4714	5245
142	4750	5215
143	4772	5169
144	4810	5142
145	4823	5087
146	4836	5033
147	4872	5004
148	4890	4955
149	4928	4928
150	4964	4898
151	5000	4869
152	5038	4840
153	5074	4810
154	5112	4783
155	5149	4753
156	5161	4701
157	5192	4666
158	5230	4638
159	5257	4599
160	5293	4570
161	5331	4542
162	5369	4512
163	5402	4480
164	5437	4448
165	5452	4401
166	5489	4372
167	5525	4341
168	5538	4293
169	5573	4262
170	5595	4220
171	5631	4190
172	5667	4160
173	5679	4112
174	5712	4080
175	5730	4037
176	5765	4006
177	5782	3963
178	5819	3934
179	5837	3891
180	5873	3861
181	5920	3838
182	5956	3807
183	5992	3777
184	6026	3746
185	6066	3717
186	6112	3693
187	6150	3664
188	6189	3634
189	6224	3603
190	6261	3573
191	6297	3542
192	6331	3510
193	6367	3478
194	6402	3447
195	6439	3416
196	6472	3383
197	6507	3352
198	6540	3319
199	6574	3287
200	6608	3255
201	6644	3223
202	6671	3187
203	6707	3156
204	6742	3124
205	6776	3091
206	6810	3059
207	6847	3028
208	6884	2997
209	6921	2966
210	6956	2934
211	6995	2903
212	7031	2872
213	7067	2840
214	7104	2808
215	7139	2776
216	7171	2743
217	7207	2711
218	7242	2678
219	7275	2645
220	7309	2612
221	7345	2581
222	7381	2548
223	7418	2516
224	7453	2484
225	7486	2451
226	7519	2418
227	7551	2384
228	7584	2351
229	7637	2324
230	7672	2291
231	7710	2259
232	7746	2227
233	7779	2194
234	7813	2161
235	7862	2132
236	7909	2102
237	7947	2070
238	7981	2037
239	8022	2005
240	8060	1973
241	8106	1942
242	8158	1913
243	8212	1884
244	8265	1855
245	8311	1824
246	8357	1793
247	8402	1761
248	8443	1729
249	8489	1697
250	8535	1666
251	8575	1633
252	8614	1600
253	8653	1567
254	8692	1534
255	8731	1500
256	8779	1468
257	8831	1437
258	8881	1405
259	8933	1374
260	8976	1341
261	9016	1307
262	9055	1273
263	9094	1240
264	9133	1206
265	9174	1172
266	9211	1138
267	9247	1104
268	9285	1070
269	9321	1035
270	9362	1001
271	9399	967
272	9440	933
273	9478	899
274	9514	864
275	9548	830
276	9585	795
277	9619	761
278	9656	726
279	9696	692
280	9736	658
281	9779	624
282	9814	589
283	9850	554
284	9885	520
285	9921	485
286	9955	450
287	9995	416
288	10036	382
289	10078	347
290	10122	313
291	10162	278
292	10196	243
293	10232	208
294	10266	174
295	10303	139
296	10337	104
297	10374	69
298	10412	34
299	10447	0
